State,ASSIGN,BOOLF,BOOLV,CALCULATE,CREATE,DIVISION,ELSE,FLOAT,FROM,GREATER_THAN,IDENTIFIER,IF,IN,INCREMENT,INT,IN_LV,IN_OP,IS,LESS_THAN,MINUS,MULTI,NOM,OUT_LV,OUT_OP,PAPER,PLUS,POSITION,RETURN,SEPARATOR,SQRT,STRING,STRING_LITERAL,THEN,TO,WHILE,$,accion_simple,asignacion,asignacion_simple,bloque_en_celda,condicion_while,crear_lienzo,expresion,expresion_aritmetica,instruccion,lista_acciones,logica_bloque,op_aritmetico,op_relacional,programa,programa',sentencia_calculate,sentencia_from,sentencia_if,sentencia_return,sentencia_sqrt,sentencia_while,tipo,valor,valor_simple
42,,,,,,r36,,,,,,,r36,,,,,,,r36,r36,,,,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,r29,,,,,,,r29,,,,,,,r29,r29,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,r35,,,,,,,r35,,,,,,,r35,r35,,,,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s62,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,s63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,s65,,,,,,,,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,s71,,,,s69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
56,,,,,,,,,,,r32,,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,r34,,,,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,r33,,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,s72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,r31,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,s44,,,,s42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
62,,,,,,,,,,,s81,,,,s79,,s75,,,,,,,,,,,s76,,,,,,,,,74,,,,,,,77,,82,,,,,,,,,78,,,,,80
63,,,,,,,,,,,s83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,s85,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,r39,,,,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,s71,,,,s69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86
67,,,,,,,,,,,r38,,,,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,s87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s88,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,s89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,r30,,,,,,,r30,,,,,,,r30,r30,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
